solver,benchType,nodes,dims,step=0.1,ave-depth,step=0.2,ave-depth,step=0.25,ave-depth,step=0.5,ave-depth
test,ss_varden,100000000,2,22.7788,0.45479,0.45479,22.6323,0.98559,22.68025,0.62299,22.6803
test,uniform,100000000,2,22.1987,0.36375,0.36375,22.17135,0.80396,22.67955,0.59471,22.67955
test,ss_varden,100000000,3,22.7259,0.58783,0.58783,22.67615,1.6019,22.62545,1.0405,22.62425
test,uniform,100000000,3,22.20465,0.38625,0.38625,22.17335,0.93091,22.6979,0.63721,22.6979
