solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum,rangeCountTime,rangeQueryTime
test,ss_varden,10000000,3,2.in,0.0473373,0.089676,0.0882787,0.875248,25.9291,91.6964,0.107023,-1
test,ss_varden,50000000,3,1.in,0.222289,0.520165,0.387519,4.49546,32.3038,104.093,6.81849,-1
test,ss_varden,50000000,3,2.in,0.219728,0.521264,0.352474,4.43443,32.5736,102.558,5.69479,-1
test,ss_varden,100000000,3,1.in,0.448443,0.978737,0.720595,9.15041,35.9367,111.096,12.3662,-1
test,ss_varden,100000000,3,2.in,0.44208,0.957046,0.735549,9.21663,35.7436,111.751,1.99018,-1
test,ss_varden,500000000,3,1.in,3.04957,4.90946,3.66986,48.4296,44.9596,128.742,66.011,-1
test,ss_varden,500000000,3,2.in,2.9876,4.92669,3.66608,47.5689,44.3218,124.498,21.5861,-1
test,uniform,10000000,3,1.in,0.0458187,0.0605093,0.053035,0.953528,39.3867,133.455,0.89382,-1
test,uniform,10000000,3,2.in,0.0523947,0.060986,0.0519233,0.952306,39.2081,133.127,0.81334,-1
test,uniform,50000000,3,1.in,0.195979,0.275023,0.242526,4.77073,44.7156,136.911,5.00998,-1
test,uniform,50000000,3,2.in,0.201934,0.276159,0.231932,4.76333,44.6172,136.729,4.97004,-1
test,uniform,100000000,3,1.in,0.400584,0.539914,0.497535,9.7595,46.6385,141.548,11.2866,-1
test,uniform,100000000,3,2.in,0.394928,0.548534,0.493471,9.74472,46.6007,141.514,11.5742,-1
test,uniform,500000000,3,1.in,2.37411,3.17639,2.81514,49.1491,51.2161,142.814,60.1111,-1
test,uniform,500000000,3,2.in,2.36983,3.12823,2.87208,49.0988,51.2461,142.858,52.3459,-1
zdtree,ss_varden,10000000,3,1.in,0.0426053,0.058494,0.032723,2.07291,-1,-1,0.868267,-1
zdtree,ss_varden,10000000,3,2.in,0.0436463,0.05708,0.0326023,1.71559,-1,-1,0.234167,-1
zdtree,ss_varden,50000000,3,1.in,0.222823,0.257528,0.214423,7.25391,-1,-1,26.7041,-1
zdtree,ss_varden,50000000,3,2.in,0.220468,0.279843,0.203802,7.39651,-1,-1,22.2553,-1
zdtree,ss_varden,100000000,3,1.in,0.43981,0.587876,0.493776,14.5322,-1,-1,50.2172,-1
